"wave" "response"
1616900 0
1629530 0.01
1642250 0.01
1655080 0.02
1668010 0.03
1681040 0.03
1694170 0.04
1707410 0.06
1720740 0.07
1734180 0.08
1747730 0.1
1761380 0.11
1775140 0.14
1789010 0.16
1802980 0.18
1817060 0.2
1831260 0.23
1845560 0.26
1859980 0.29
1874510 0.32
1889150 0.34
1903910 0.37
1918780 0.41
1933770 0.44
1948870 0.47
1964100 0.5
1979440 0.52
1994900 0.55
2010480 0.58
2026190 0.6
2042010 0.63
2057970 0.64
2074040 0.66
2090240 0.67
2106570 0.69
2123020 0.7
2139610 0.71
2156320 0.72
2173160 0.73
2190140 0.73
2207250 0.74
2224490 0.75
2241870 0.76
2259380 0.78
2277030 0.79
2294810 0.8
2312740 0.81
2330800 0.83
2349010 0.85
2367360 0.86
2385850 0.88
2404490 0.9
2423270 0.92
2442200 0.94
2461280 0.95
2480500 0.96
2499880 0.97
2519400 0.98
2539080 0.99
2558920 1
2578910 1
2599050 0.97
2619350 0.95
2639810 0.92
2660430 0.9
2681210 0.87
2702160 0.85
2723270 0.82
2744540 0.8
2765980 0.77
2787580 0.75
2809360 0.73
2831300 0.7
2853420 0.68
2875710 0.65
2898170 0.61
2920810 0.58
2943620 0.54
2966620 0.51
2989790 0.47
3013140 0.44
3036680 0.4
3060400 0.37
3084310 0.34
3108400 0.31
3132680 0.28
3157150 0.25
3181810 0.22
3206670 0.19
3231710 0.16
3256960 0.15
3282400 0.14
3308040 0.12
3333880 0.11
3359920 0.1
3386170 0.09
3412620 0.08
3439270 0.07
3466140 0.06
3493210 0.06
3520500 0.05
3548000 0.05
3575720 0.04
3603650 0.04
3631800 0.04
3660160 0.03
3688760 0.03
3717570 0.03
3746610 0.02
3775870 0.02
3805370 0.02
3835090 0.03
3865050 0.03
3895240 0.03
3925670 0.03
3956330 0.03
3987240 0.03
4018380 0.03
4049770 0.03
4081410 0.03
4113290 0.02
4145420 0.02
4177800 0.02
4210430 0.02
4243320 0.02
4276470 0.02
4309870 0.02
4343540 0.02
4377470 0.02
4411660 0.01
4446120 0.01
4480850 0.01
4515850 0.01
4551130 0
