"wave" "response"
10800 0
10850 2e-04
10900 6e-04
10950 0.0021
11000 0.0061
11050 0.0157
11100 0.0357
11150 0.0719
11200 0.1287
11250 0.2061
11300 0.2979
11350 0.3924
11400 0.4768
11450 0.5423
11500 0.5868
11550 0.6129
11600 0.6262
11650 0.6326
11700 0.6352
11750 0.6366
11800 0.6375
11850 0.6379
11900 0.6386
11950 0.6394
12000 0.6397
12050 0.6401
12100 0.641
12150 0.6418
12200 0.6423
12250 0.643
12300 0.6438
12350 0.6443
12400 0.6447
12450 0.6453
12500 0.6454
12550 0.6456
12600 0.6457
12650 0.6456
12700 0.6454
12750 0.6453
12800 0.6452
12850 0.6448
12900 0.6448
12950 0.6446
13000 0.6445
13050 0.6448
13100 0.6448
13150 0.6452
13200 0.6456
13250 0.6457
13300 0.6463
13350 0.6469
13400 0.6472
13450 0.6478
13500 0.6485
13550 0.6489
13600 0.6497
13650 0.6502
13700 0.6511
13750 0.652
13800 0.6524
13850 0.6534
13900 0.6539
13950 0.6541
14000 0.6541
14050 0.6531
14100 0.651
14150 0.6468
14200 0.6391
14250 0.6257
14300 0.603
14350 0.5687
14400 0.5207
14450 0.4595
14500 0.3885
14550 0.3124
14600 0.2375
14650 0.1699
14700 0.1139
14750 0.0713
14800 0.0416
14850 0.0225
14900 0.0113
14950 0.0053
15000 0.0023
15050 9e-04
15100 3e-04
15150 1e-04
15200 0
