"wave" "response"
16050 0
16100 1e-04
16150 2e-04
16200 4e-04
16250 0.001
16300 0.0022
16350 0.0047
16400 0.0092
16450 0.017
16500 0.0297
16550 0.0492
16600 0.0771
16650 0.1146
16700 0.1618
16750 0.2176
16800 0.2795
16850 0.344
16900 0.4068
16950 0.4642
17000 0.5138
17050 0.5539
17100 0.5843
17150 0.6059
17200 0.6207
17250 0.6298
17300 0.6353
17350 0.6385
17400 0.6403
17450 0.641
17500 0.6417
17550 0.6414
17600 0.6414
17650 0.6409
17700 0.6402
17750 0.6396
17800 0.6389
17850 0.6387
17900 0.638
17950 0.6376
18000 0.6369
18050 0.6365
18100 0.6366
18150 0.6363
18200 0.6367
18250 0.637
18300 0.6373
18350 0.6377
18400 0.6381
18450 0.6385
18500 0.6388
18550 0.6392
18600 0.6395
18650 0.6402
18700 0.6405
18750 0.6411
18800 0.6413
18850 0.6415
18900 0.6413
18950 0.6414
19000 0.6414
19050 0.6412
19100 0.6413
19150 0.6409
19200 0.6405
19250 0.6402
19300 0.6393
19350 0.6383
19400 0.6366
19450 0.6343
19500 0.6299
19550 0.623
19600 0.6122
19650 0.5967
19700 0.5758
19750 0.5481
19800 0.5136
19850 0.4722
19900 0.4249
19950 0.3732
20000 0.3193
20050 0.2652
20100 0.2136
20150 0.1665
20200 0.1254
20250 0.0911
20300 0.0638
20350 0.0431
20400 0.028
20450 0.0174
20500 0.0105
20550 0.006
20600 0.0033
20650 0.0018
20700 9e-04
20750 4e-04
20800 2e-04
20850 1e-04
20900 0
