"wave" "response"
18600 0
18650 1e-04
18700 1e-04
18750 3e-04
18800 7e-04
18850 0.0014
18900 0.0028
18950 0.0051
19000 0.0091
19050 0.0156
19100 0.0256
19150 0.0401
19200 0.0605
19250 0.0876
19300 0.1219
19350 0.1636
19400 0.2116
19450 0.2647
19500 0.3202
19550 0.3757
19600 0.4285
19650 0.4763
19700 0.5179
19750 0.552
19800 0.5788
19850 0.5989
19900 0.6131
19950 0.6228
20000 0.6294
20050 0.6333
20100 0.6355
20150 0.6368
20200 0.6375
20250 0.6378
20300 0.638
20350 0.6385
20400 0.6387
20450 0.6388
20500 0.639
20550 0.6395
20600 0.6396
20650 0.6402
20700 0.6403
20750 0.6406
20800 0.6412
20850 0.6415
20900 0.6419
20950 0.6423
21000 0.6427
21050 0.6432
21100 0.6438
21150 0.6446
21200 0.6454
21250 0.6457
21300 0.6467
21350 0.6472
21400 0.6477
21450 0.6485
21500 0.6487
21550 0.6489
21600 0.6489
21650 0.649
21700 0.6491
21750 0.6489
21800 0.6486
21850 0.6483
21900 0.6479
21950 0.6479
22000 0.6477
22050 0.6475
22100 0.6469
22150 0.6459
22200 0.6451
22250 0.6434
22300 0.6415
22350 0.6389
22400 0.6353
22450 0.63
22500 0.6225
22550 0.6126
22600 0.5984
22650 0.5802
22700 0.5571
22750 0.5287
22800 0.495
22850 0.4562
22900 0.4133
22950 0.3672
23000 0.3197
23050 0.2721
23100 0.2264
23150 0.1837
23200 0.1451
23250 0.1117
23300 0.0836
23350 0.0608
23400 0.043
23450 0.0295
23500 0.0196
23550 0.0126
23600 0.0079
23650 0.0048
23700 0.0028
23750 0.0016
23800 9e-04
23850 5e-04
23900 2e-04
23950 1e-04
24000 1e-04
24050 0
