"wave" "response"
990350 0
998090 0.01
1005890 0.01
1013740 0.02
1021660 0.02
1029640 0.03
1037690 0.03
1045790 0.04
1053960 0.05
1062190 0.06
1070490 0.08
1078850 0.09
1087280 0.11
1095770 0.12
1104330 0.15
1112960 0.18
1121650 0.21
1130410 0.23
1139240 0.24
1148140 0.26
1157110 0.28
1166150 0.3
1175260 0.32
1184440 0.32
1193690 0.33
1203020 0.34
1212410 0.34
1221880 0.35
1231430 0.35
1241050 0.36
1250740 0.37
1260510 0.38
1270360 0.39
1280280 0.41
1290280 0.43
1300360 0.45
1310520 0.47
1320760 0.49
1331070 0.51
1341470 0.53
1351950 0.55
1362510 0.58
1373150 0.6
1383880 0.63
1394690 0.67
1405580 0.7
1416560 0.73
1427630 0.77
1438780 0.8
1450020 0.84
1461340 0.87
1472760 0.91
1484260 0.95
1495860 0.97
1507540 0.98
1519320 0.99
1531180 1
1543140 1
1555200 0.97
1567350 0.94
1579590 0.92
1591930 0.88
1604360 0.84
1616900 0.79
1629530 0.74
1642250 0.68
1655080 0.62
1668010 0.55
1681040 0.48
1694170 0.41
1707410 0.37
1720740 0.32
1734180 0.28
1747730 0.24
1761380 0.2
1775140 0.18
1789010 0.15
1802980 0.13
1817060 0.1
1831260 0.1
1845560 0.09
1859980 0.09
1874510 0.08
1889150 0.08
1903910 0.08
1918780 0.07
1933770 0.07
1948870 0.07
1964100 0.07
1979440 0.06
1994900 0.06
2010480 0.05
2026190 0.05
2042010 0.05
2057970 0.04
2074040 0.04
2090240 0.04
2106570 0.03
2123020 0.03
2139610 0.03
2156320 0.03
2173160 0.03
2190140 0.02
2207250 0.02
2224490 0.02
2241870 0.02
2259380 0.02
2277030 0.02
2294810 0.02
2312740 0.02
2330800 0.02
2349010 0.02
2367360 0.02
2385850 0.02
2404490 0.02
2423270 0.02
2442200 0.02
2461280 0.02
2480500 0.02
2499880 0.02
2519400 0.02
2539080 0.01
2558920 0.01
2578910 0.01
2599050 0.01
2619350 0.01
2639810 0.01
2660430 0
