"wave" "response"
8850 0
8900 2e-04
8950 0.001
9000 0.0041
9050 0.0135
9100 0.0374
9150 0.086
9200 0.1664
9250 0.274
9300 0.3911
9350 0.4944
9400 0.5678
9450 0.6101
9500 0.6295
9550 0.6367
9600 0.6388
9650 0.6387
9700 0.6384
9750 0.6376
9800 0.6371
9850 0.6362
9900 0.6353
9950 0.6348
10000 0.634
10050 0.6337
10100 0.6333
10150 0.633
10200 0.6327
10250 0.6324
10300 0.6322
10350 0.6317
10400 0.6315
10450 0.6314
10500 0.6314
10550 0.6314
10600 0.6315
10650 0.6316
10700 0.6318
10750 0.6319
10800 0.6321
10850 0.6327
10900 0.6329
10950 0.633
11000 0.6335
11050 0.6332
11100 0.6332
11150 0.6335
11200 0.6338
11250 0.6337
11300 0.634
11350 0.6342
11400 0.6343
11450 0.6342
11500 0.634
11550 0.6325
11600 0.6284
11650 0.619
11700 0.5997
11750 0.5658
11800 0.5133
11850 0.4414
11900 0.3557
11950 0.2653
12000 0.1812
12050 0.1125
12100 0.0632
12150 0.0319
12200 0.0144
12250 0.0058
12300 0.0021
12350 7e-04
12400 2e-04
12450 0
