"wave" "response"
13150 0
13200 1e-04
13250 2e-04
13300 6e-04
13350 0.0017
13400 0.0043
13450 0.0098
13500 0.0205
13550 0.0395
13600 0.0701
13650 0.1148
13700 0.1745
13750 0.2468
13800 0.3262
13850 0.4061
13900 0.4787
13950 0.5388
14000 0.5839
14050 0.6146
14100 0.6334
14150 0.6441
14200 0.6498
14250 0.6529
14300 0.6543
14350 0.6551
14400 0.6553
14450 0.655
14500 0.6552
14550 0.6555
14600 0.6557
14650 0.6558
14700 0.6559
14750 0.6563
14800 0.6563
14850 0.6567
14900 0.6568
14950 0.6572
15000 0.6573
15050 0.6574
15100 0.6579
15150 0.6583
15200 0.6586
15250 0.6592
15300 0.6594
15350 0.66
15400 0.6606
15450 0.661
15500 0.6615
15550 0.6618
15600 0.6622
15650 0.6624
15700 0.6629
15750 0.6631
15800 0.6634
15850 0.6639
15900 0.6645
15950 0.6652
16000 0.6661
16050 0.667
16100 0.668
16150 0.6689
16200 0.6698
16250 0.6711
16300 0.6724
16350 0.6733
16400 0.6742
16450 0.675
16500 0.6758
16550 0.6767
16600 0.6771
16650 0.6779
16700 0.6786
16750 0.6789
16800 0.6792
16850 0.6798
16900 0.6801
16950 0.6802
17000 0.6808
17050 0.6813
17100 0.6815
17150 0.6812
17200 0.6803
17250 0.6776
17300 0.6726
17350 0.664
17400 0.6503
17450 0.6294
17500 0.6006
17550 0.5617
17600 0.5137
17650 0.4569
17700 0.3941
17750 0.3284
17800 0.2636
17850 0.2034
17900 0.1503
17950 0.1062
18000 0.0716
18050 0.0461
18100 0.0282
18150 0.0164
18200 0.0091
18250 0.0048
18300 0.0024
18350 0.0011
18400 5e-04
18450 2e-04
18500 1e-04
18550 0
